material,unit_cost,valid_from,valid_to,source,region
cement,95.00,2025-07-01,2025-12-31,Ghacem Ltd,greater accra
sand,40.00,2025-07-01,2025-12-31,Local Supplier,greater accra
aggregate,65.00,2025-07-01,2025-12-31,Accra Aggregates,greater accra
cement,98.00,2025-07-01,2025-12-31,Eastern Concrete Co,eastern
sand,35.00,2025-07-01,2025-12-31,Volta Sand & Gravel,volta
blocks,5.80,2025-07-01,2025-12-31,Koforidua Blocks,eastern
cement,97.00,2025-07-01,2025-12-31,National Supplier,national
sand,38.00,2025-07-01,2025-12-31,National Supplier,national
aggregate,62.00,2025-07-01,2025-12-31,National Supplier,national
mortar,42.00,2025-07-01,2025-12-31,Local Supplier,greater accra
water,12.00,2025-07-01,2025-12-31,Local Supplier,greater accra
blocks,5.80,2025-07-01,2025-12-31,National Supplier,national
mortar,42.00,2025-07-01,2025-12-31,National Supplier,national
water,12.00,2025-07-01,2025-12-31,National Supplier,national
