source_id,equipment,daily_rate,duration_per_unit,region,valid_from,valid_to
1,Concrete Mixer (400L),250,0.5,greater accra,2025-01-01,2025-12-31
1,Vibrating Poker,120,0.3,greater accra,2025-01-01,2025-12-31
2,Excavator (20T),1500,1.0,greater accra,2025-01-01,2025-12-31
2,Dump Truck (10m3),900,0.8,greater accra,2025-01-01,2025-12-31
3,Water Tanker (5000L),700,0.4,greater accra,2025-01-01,2025-12-31
3,Backhoe Loader,1100,0.6,greater accra,2025-01-01,2025-12-31
4,Concrete Pump (Truck-mounted),2200,1.2,ashanti,2025-01-01,2025-12-31
4,Tower Crane,3000,2.0,ashanti,2025-01-01,2025-12-31
5,Plate Compactor,180,0.2,volta,2025-01-01,2025-12-31
5,Grader,1300,1.5,volta,2025-01-01,2025-12-31
6,Concrete Mixer (400L),250,0.5,national,2025-01-01,2025-12-31
